delta_omega,delta_D,S_mean,S_std
-0.19999999999999996,1.5,0.9630658083427784,0.024886674754882987
-0.19999999999999996,1.75,0.9642059958495283,0.014119966883961277
-0.19999999999999996,2.0,0.9721150914660817,0.010453137320076545
-0.09999999999999998,-2.0,-0.9722587886698317,0.01431905804551415
-0.09999999999999998,-1.75,-0.9565240333658422,0.03288757353817228
-0.09999999999999998,-1.5,-0.9153572635054699,0.07877679956325781
-0.09999999999999998,-1.25,-0.9481527092114843,0.05158682660687464
-0.09999999999999998,-1.0,-0.8340921338421736,0.16892532458918563
-0.09999999999999998,-0.75,-0.9131064178707406,0.04912946652690688
-0.09999999999999998,-0.5,-0.7451204727000122,0.10144175298395848
-0.09999999999999998,-0.25,-0.129817196484952,0.6201444804742029
-0.09999999999999998,0.0,-0.1375291078952404,0.6343522458027965
-0.09999999999999998,0.25,0.58283001986466,0.40365259421420496
-0.09999999999999998,0.5,0.8889461784638281,0.08468246705996572
-0.09999999999999998,0.75,0.90011305460662,0.06547390117155531
-0.09999999999999998,1.0,0.9379625697539794,0.04371350888623181
-0.09999999999999998,1.25,0.942358245786294,0.04842694073002856
-0.09999999999999998,1.5,0.9545047292246359,0.020827932163126096
-0.09999999999999998,1.75,0.9554416886268633,0.025255699500108565
-0.09999999999999998,2.0,0.9535884026794111,0.02272067678620188
0.0,-2.0,-0.9627007972698094,0.01957144339960276
0.0,-1.75,-0.9666040131504967,0.01736325303210892
0.0,-1.5,-0.9671417131907217,0.016138690604898327
0.0,-1.25,-0.9627668881415798,0.0178024072456528
0.0,-1.0,-0.8876162028041186,0.06951084473921448
0.0,-0.75,-0.9282670059995816,0.03828579175045087
0.0,-0.5,-0.5290557211727995,0.5116327728015422
0.0,-0.25,-0.3423932734771661,0.7069252651276263
0.0,0.0,0.38112869923169834,0.42350808717652544
0.0,0.25,0.7811225062357696,0.12801113083956478
0.0,0.5,0.8470745234030058,0.0646976109989463
0.0,0.75,0.867340879413813,0.13719430844454258
0.0,1.0,0.873670337160356,0.0816704381462085
0.0,1.25,0.8984102198804014,0.1022684770195106
0.0,1.5,0.934688345004111,0.029116008682532057
0.0,1.75,0.961038200810005,0.015477768444769259
0.0,2.0,0.9578949706258942,0.012272244515073376
0.10000000000000009,-2.0,-0.9670006243135412,0.02974137387753212
0.10000000000000009,-1.75,-0.9612698605773942,0.018677065971755957
0.10000000000000009,-1.5,-0.9675429259462544,0.012034332528627952
0.10000000000000009,-1.25,-0.9248889231369972,0.0516219200553953
0.10000000000000009,-1.0,-0.9393485058408271,0.029207426913768895
0.10000000000000009,-0.75,-0.8505062396806491,0.07137011732480905
0.10000000000000009,-0.5,-0.9432925572013747,0.03423704665896553
0.10000000000000009,-0.25,-0.3563723106627939,0.5254367852725949
0.10000000000000009,0.0,-0.02876295108476625,0.6680836715552829
0.10000000000000009,0.25,0.21651103546082834,0.5230087657978458
0.10000000000000009,0.5,0.758190122755167,0.07275825729141748
0.10000000000000009,0.75,0.8969897168202143,0.06686299525537137
0.10000000000000009,1.0,0.9077876374655945,0.07514570550871516
0.10000000000000009,1.25,0.9500374912938737,0.03068704344545378
0.10000000000000009,1.5,0.9403987664557013,0.03760306569637636
0.10000000000000009,1.75,0.9579100651299337,0.017564111391964364
0.10000000000000009,2.0,0.9625388354149977,0.0212164735268668
0.20000000000000007,-2.0,-0.9564165823721075,0.03321688808330783
0.20000000000000007,-1.75,-0.9869000990250401,0.004500679694049419
0.20000000000000007,-1.5,-0.97039004020051,0.012101033595040023
0.20000000000000007,-1.25,-0.9276596602588952,0.038616858933586934
0.20000000000000007,-1.0,-0.9714735068728808,0.014503325525207545
0.20000000000000007,-0.75,-0.9338491271584349,0.07532198846853973
0.20000000000000007,-0.5,-0.9162574446433502,0.0547131042162835
0.20000000000000007,-0.25,-0.7935551516174691,0.27840899080220644
0.20000000000000007,0.0,-0.1412061493931854,0.7957998186352158
0.20000000000000007,0.25,0.5677414884644916,0.22199853677165363
0.20000000000000007,0.5,0.802205215551347,0.20350608705742282
0.20000000000000007,0.75,0.875919006782472,0.0920834890282994
0.20000000000000007,1.0,0.8403253507008422,0.11859122980481647
0.20000000000000007,1.25,0.9473841277715026,0.019858727065027736
0.20000000000000007,1.5,0.9753476333677309,0.010745783172857258
0.20000000000000007,1.75,0.9439282778350908,0.048246814297200215
0.20000000000000007,2.0,0.9610509654757451,0.02292088443090718
0.30000000000000004,-2.0,-0.9654397939955637,0.03224646926798676
0.30000000000000004,-1.75,-0.9909723531895258,0.0036479225516906893
0.30000000000000004,-1.5,-0.9600392457829594,0.028021347432876986
0.30000000000000004,-1.25,-0.978815621517283,0.01009243538867178
0.30000000000000004,-1.0,-0.9659247387607464,0.022322400575017325
0.30000000000000004,-0.75,-0.9140775202116285,0.042169373614560426
0.30000000000000004,-0.5,-0.920300372264945,0.041295503337761184
0.30000000000000004,-0.25,-0.9018966313506043,0.08983606315547872
0.30000000000000004,0.0,-0.6536039136624989,0.38270007729156075
0.30000000000000004,0.25,0.5206977257913796,0.7576532887739122
0.30000000000000004,0.5,0.760366409536592,0.06827420312921995
0.30000000000000004,0.75,0.8553051155647265,0.11604475820432351
0.30000000000000004,1.0,0.848695818297057,0.13425869758770903
0.30000000000000004,1.25,0.9245447860572316,0.05288078152924614
