delta_b,delta_D,S_mean,S_std
-0.09999999999999998,0.25,-0.2504636117270054,0.34706603904082034
-0.09999999999999998,0.5,0.35556501107933763,0.6683244549000289
-0.09999999999999998,0.75,0.5114373386246653,0.3529135429591867
-0.09999999999999998,1.0,0.8424959008960247,0.17695940163628365
-0.09999999999999998,1.25,0.7638467261545161,0.28456895582534947
-0.09999999999999998,1.5,0.9569604011294093,0.04381146564927152
-0.09999999999999998,1.75,0.7206672805791412,0.16217261198096755
-0.09999999999999998,2.0,0.9053951813425858,0.1063431804223252
-0.04999999999999999,-2.0,-0.9149307732366475,0.0711611767171988
-0.04999999999999999,-1.75,-0.9053321282543344,0.055569421650455995
-0.04999999999999999,-1.5,-0.8735084907230396,0.11883816479541073
-0.04999999999999999,-1.25,-0.8558996531943022,0.1327691132959497
-0.04999999999999999,-1.0,-0.6652868834378171,0.2537659086233488
-0.04999999999999999,-0.75,-0.6166226519728866,0.5089551105908573
-0.04999999999999999,-0.5,-0.4359044813563225,0.43135828800802156
-0.04999999999999999,-0.25,-0.22710040722568925,0.4018336740951064
-0.04999999999999999,0.0,-0.3381070218675877,0.5046077838763818
-0.04999999999999999,0.25,-0.06846847944416726,0.3723100866655901
-0.04999999999999999,0.5,0.3869645888668763,0.48208836769996044
-0.04999999999999999,0.75,0.6449539548204644,0.3603873154410428
-0.04999999999999999,1.0,0.6664230231729682,0.287461618184122
-0.04999999999999999,1.25,0.7013512560093484,0.23480953107450137
-0.04999999999999999,1.5,0.9363410424387298,0.03637342981352281
-0.04999999999999999,1.75,0.8630698547037652,0.15010562038881267
-0.04999999999999999,2.0,0.9244998943221775,0.05542957479943633
0.0,-2.0,-0.8855976633314725,0.07201062492788979
0.0,-1.75,-0.935495106346268,0.058492581527409604
0.0,-1.5,-0.8595781180813175,0.06579785410882688
0.0,-1.25,-0.8975342946469314,0.07222767991892787
0.0,-1.0,-0.6739994972449588,0.27302383383475304
0.0,-0.75,-0.8734743780428808,0.054649873148972225
0.0,-0.5,-0.3113211236051424,0.3485410206023136
0.0,-0.25,-0.5027108505456201,0.39605165306141094
0.0,0.0,-0.04810199031023563,0.5685123354559598
0.0,0.25,0.25547187062139437,0.22838534705714134
0.0,0.5,0.5735678265574402,0.2939977245879388
0.0,0.75,0.6712835781844024,0.28750515994917397
0.0,1.0,0.8632859626328411,0.1361644561279359
0.0,1.25,0.8768157028696464,0.06995258707488727
0.0,1.5,0.8956209317731376,0.05356754069709136
0.0,1.75,0.8581955453709323,0.09388854288460903
0.0,2.0,0.8845990386555671,0.0538114988516786
0.04999999999999999,-2.0,-0.854458012908907,0.16887922414439488
0.04999999999999999,-1.75,-0.9530357731467664,0.022743785668270646
0.04999999999999999,-1.5,-0.9288385109328363,0.057018371781910944
0.04999999999999999,-1.25,-0.8719251984442742,0.06860160957893839
0.04999999999999999,-1.0,-0.49209175280889583,0.27391520565279215
0.04999999999999999,-0.75,-0.780280265022861,0.10307703039479879
0.04999999999999999,-0.5,-0.7804943018021647,0.10546223957935687
0.04999999999999999,-0.25,-0.6127623425750429,0.46105987267760234
0.04999999999999999,0.0,-0.11020441016655542,0.7092158265854887
0.04999999999999999,0.25,0.4363478543242637,0.3862077930887658
0.04999999999999999,0.5,0.47632554756064416,0.28119851858087547
0.04999999999999999,0.75,0.6975285666195182,0.3130231576118266
0.04999999999999999,1.0,0.8537824554896396,0.17299205177940352
0.04999999999999999,1.25,0.8819611812395832,0.11195931046306527
0.04999999999999999,1.5,0.8776497790729548,0.09840641920073431
0.04999999999999999,1.75,0.8737793173624848,0.033126890129958286
0.04999999999999999,2.0,0.9262936768474453,0.04573165184114207
0.10000000000000003,-2.0,-0.9535951847305512,0.028396751842565963
0.10000000000000003,-1.75,-0.9507137733427168,0.02899935886172804
0.10000000000000003,-1.5,-0.942064947311966,0.02517502761145975
0.10000000000000003,-1.25,-0.9034101794129702,0.05972059701154987
0.10000000000000003,-1.0,-0.8668363842731518,0.17090980217742738
0.10000000000000003,-0.75,-0.8416076393385801,0.06446854075897841
0.10000000000000003,-0.5,-0.8618120711649707,0.09458131052792927
0.10000000000000003,-0.25,-0.8653392797115107,0.05445619518477477
0.10000000000000003,0.0,-0.35698712898739215,0.6382076794287057
0.10000000000000003,0.25,0.190912462371283,0.616607832076757
0.10000000000000003,0.5,0.4168601851333765,0.3664401840169746
0.10000000000000003,0.75,0.7105055102731276,0.20393346393789857
0.10000000000000003,1.0,0.5934148974788782,0.3086645856892918
0.10000000000000003,1.25,0.9290738550533693,0.024807197119399788
0.10000000000000003,1.5,0.8653629347539017,0.09619737562403903
0.10000000000000003,1.75,0.9459927329205101,0.048866003792386925
